login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
nicknochnack,nicknochnack/ActionDetectionforSignLanguage,2021-06-16T09:12:01Z,409,409,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/AdvancedHandPoseWithMediaPipe,2021-04-25T00:13:57Z,37,37,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/ANPRwithPython,2020-12-13T04:39:49Z,106,106,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/AutoStreamlit,2022-10-25T21:25:41Z,72,72,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/beeagent,2024-09-19T08:05:08Z,8,8,TypeScript,True,True,
nicknochnack,nicknochnack/BERTSentiment,2021-05-27T00:46:57Z,62,62,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BinanceEDA,2021-06-10T01:10:15Z,39,39,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Blenderbot,2021-10-16T23:24:49Z,5,5,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Body-Language-Decoder,2021-04-19T00:54:25Z,100,100,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BodyPixBackgroundRemoval,2021-05-13T00:06:34Z,25,25,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/BudgetBot,2020-09-17T13:05:01Z,1,1,,True,True,
nicknochnack,nicknochnack/CFN2.0,2024-07-26T00:55:29Z,4,4,JavaScript,True,True,
nicknochnack,nicknochnack/ChatGPTAPI,2023-03-07T03:36:29Z,59,59,Python,True,True,
nicknochnack,nicknochnack/ChatGPTWatson,2023-03-09T04:31:09Z,8,8,,True,True,
nicknochnack,nicknochnack/Cloud-Pak-For-Data-Data-to-Deployment,2021-01-15T00:35:19Z,5,5,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CNNLayers,2022-05-29T02:30:51Z,17,17,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/Code-That-ReactStableDiffusion,2022-11-04T10:42:52Z,96,96,JavaScript,True,True,
nicknochnack,nicknochnack/CodeThat-FastML,2022-08-11T23:39:21Z,16,16,Python,True,True,
nicknochnack,nicknochnack/CodeTHat-MiDaS,2023-01-06T00:56:24Z,17,17,Python,True,True,
nicknochnack,nicknochnack/CodeThatObjectDetection,2022-10-07T04:05:14Z,10,10,Python,True,True,
nicknochnack,nicknochnack/CognosAnalyticsPython,2019-10-31T06:49:05Z,2,2,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/ColumnTransformerPractice,2022-07-25T08:30:28Z,5,5,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CommentToxicity,2022-04-28T07:14:55Z,44,44,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CrewAIPropertyBot,2024-04-11T04:23:33Z,40,40,Python,True,True,
nicknochnack,nicknochnack/CubewiseConferenceMerchDecisionOptimization,2019-08-21T05:34:29Z,0,0,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CubewiseConferenceMerchOptimization,2019-08-21T05:14:42Z,0,0,Jupyter Notebook,True,True,
nicknochnack,nicknochnack/CustomGestureRecognition,2020-12-10T05:56:07Z,10,10,JavaScript,True,True,
nicknochnack,nicknochnack/CustomObjectDetectionReactJSTensorflow,2020-11-17T22:21:02Z,13,13,JavaScript,True,True,
nicknochnack,nicknochnack/DataFrameAgentWatsonx,2024-10-04T03:37:19Z,6,6,Python,True,True,
nicknochnack,nicknochnack/DataScienceCheatsheet,2021-03-07T01:29:02Z,137,137,,True,True,
brendangregg,brendangregg/bcc,2015-08-18T20:05:02Z,62,62,C,True,True,Apache License 2.0
brendangregg,brendangregg/bcc-1,2015-11-06T20:02:59Z,0,0,Python,True,True,
brendangregg,brendangregg/bpf-docs,2019-07-07T22:52:30Z,11,11,,True,True,
brendangregg,brendangregg/bpf-perf-tools-book,2019-05-13T18:11:59Z,1623,1623,Python,True,True,
brendangregg,brendangregg/bpf-perf-workshop,2019-10-27T03:19:22Z,183,183,C,True,True,
brendangregg,brendangregg/BPF-tools,2014-06-09T07:39:58Z,121,121,C,True,True,
brendangregg,brendangregg/bpf-typewriter,2019-12-22T20:34:50Z,23,23,,True,True,
brendangregg,brendangregg/bpftrace,2018-02-27T21:42:29Z,20,20,C++,True,False,Apache License 2.0
brendangregg,brendangregg/bpftrace-tetris,2019-12-17T21:15:35Z,4,4,Shell,True,True,
brendangregg,brendangregg/brendangregg.github.io,2015-07-26T23:54:17Z,3,3,HTML,True,True,
brendangregg,brendangregg/Chaosreader,2014-04-10T00:56:54Z,224,224,,True,True,
brendangregg,brendangregg/d3-flame-graph,2015-10-07T00:04:46Z,11,11,JavaScript,True,False,Apache License 2.0
brendangregg,brendangregg/DTrace-book-scripts,2014-06-14T19:39:07Z,171,171,,True,True,
brendangregg,brendangregg/dtrace-cloud-tools,2012-08-13T22:50:54Z,203,203,D,True,True,
brendangregg,brendangregg/DTrace-tools,2014-11-02T17:15:41Z,68,68,DTrace,True,True,
brendangregg,brendangregg/DTraceToolkit,2011-11-13T22:21:55Z,16,16,,True,True,
brendangregg,brendangregg/Dump2PNG,2012-05-05T21:31:52Z,40,40,C,True,True,
brendangregg,brendangregg/FlameGraph,2011-12-16T02:20:53Z,17285,17285,Perl,True,True,
brendangregg,brendangregg/FlameScope,2017-02-24T19:39:43Z,13,13,Perl,True,True,
brendangregg,brendangregg/GuessingGame,2011-11-12T22:49:49Z,34,34,Batchfile,True,True,
brendangregg,brendangregg/HeatMap,2013-05-19T18:07:19Z,311,311,Perl,True,True,
brendangregg,brendangregg/hexyl,2019-10-26T16:39:20Z,4,4,,True,True,Apache License 2.0
brendangregg,brendangregg/llnode,2016-07-09T00:23:16Z,1,1,C++,True,True,
brendangregg,brendangregg/metrics-catalog,2014-05-15T21:37:32Z,18,18,,True,True,
brendangregg,brendangregg/Misc,2014-05-07T07:55:05Z,65,65,Shell,True,True,
brendangregg,brendangregg/msr-cloud-tools,2014-09-15T22:30:36Z,177,177,Shell,True,True,
brendangregg,brendangregg/p1bench,2018-03-15T18:37:23Z,20,20,C,True,True,
brendangregg,brendangregg/perf-labs,2015-05-21T21:24:19Z,97,97,C,True,True,MIT License
brendangregg,brendangregg/perf-map-agent,2014-12-04T06:01:47Z,2,2,C,True,True,GNU General Public License v2.0
brendangregg,brendangregg/perf-tools,2014-07-10T19:54:14Z,9870,9870,Shell,True,True,GNU General Public License v2.0
cornflourblue,cornflourblue/angu-fixed-header-table,2014-06-03T01:53:54Z,67,67,JavaScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-alert-notifications,2020-07-16T10:49:14Z,14,14,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-basic-authentication-example,2020-10-17T00:43:52Z,12,12,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-custom-modal,2020-09-24T10:02:08Z,20,20,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-facebook-login-example,2020-09-18T03:49:47Z,16,16,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-jwt-authentication-example,2020-07-09T01:16:37Z,53,53,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-jwt-refresh-tokens,2020-07-25T02:24:55Z,57,57,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-registration-login-example,2020-07-17T09:24:48Z,124,124,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-role-based-authorization-example,2020-09-08T09:58:33Z,35,35,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-10-signup-verification-boilerplate,2020-08-25T09:49:18Z,68,68,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-11-crud-example,2020-12-15T08:33:20Z,35,35,TypeScript,True,True,MIT License
cornflourblue,cornflourblue/angular-14-alert-notifications,2022-11-23T00:13:07Z,1,1,TypeScript,True,True,MIT License
